commit_id,intent,intent_confidence,intent_margin,change,change_confidence,change_margin,risk,risk_confidence,risk_margin,complexity,complexity_confidence,complexity_margin,scope,scope_confidence,scope_margin,test,test_confidence,test_margin,security,security_confidence,security_margin,model,schema_version
d9c404829298f1a8c67a6d7a732d8e687268b014,TS,99.2923,98.7019,TS,99.8745,99.7501,M,96.8833,94.6048,M,97.2097,94.6191,M,97.7027,96.7144,M,66.9196,51.9879,N,92.9986,86.67,Qwen3-4B,v1
2a10e9900a5f8a48eafc15f6820476f76499a70b,TS,85.938,77.9445,TS,99.7501,99.5029,M,91.95,84.8596,M,99.0751,98.2699,M,87.8026,79.887,M,86.0215,77.5042,N,97.0106,94.582,Qwen3-4B,v1
281fbb1f9d7e329fd36556df6c0ea23a8bbea683,OT,31.307482719421387,16.51887446641922,OT,73.99072051048279,59.42108631134033,M,89.29910659790039,79.280024766922,M,95.45585513114928,91.51592254638672,M,97.1291184425354,95.35013437271118,M,83.93692970275879,76.60260200500488,N,76.0665774345398,55.59353828430176,Qwen/Qwen3-4B,v1
f8bc19b96da752e216de2c5c543a7d8523512a03,BF,76.33532285690308,66.63037538528442,OT,62.34157085418701,45.562565326690674,M,62.07782626152039,24.425718188285828,M,53.036701679229736,6.231978535652161,M,98.92811179161072,98.3019232749939,H,58.70462656021118,18.357565999031067,M,71.31645679473877,48.16339612007141,Qwen/Qwen3-4B,v1
a9c7f7122badd6bc46237cdeeaa64e892d9fa045,BF,38.71292769908905,23.552727699279785,OT,82.92585015296936,73.6218273639679,M,97.2599983215332,95.7831859588623,M,97.58719801902772,95.36277651786804,M,91.54489040374756,86.38027906417847,M,86.82250380516052,81.6084086894989,M,48.967245221138,5.753803253173828,Qwen/Qwen3-4B,v1
508df5359c1c85b6c3e0bfd3c316a8c3026c9cd5,BF,25.44808387756348,2.990229427814484,OT,62.77236342430115,42.39315986633301,M,95.87427377700806,91.91706776618958,M,97.80094623565674,95.64024209976196,M,96.57281041145325,95.19527554512024,M,87.92622685432434,82.64584541320801,M,58.92484188079834,27.384647727012634,Qwen/Qwen3-4B,v1
a3f1aa0bdad56cd896b3fb3d5b99137a0978f215,BF,49.16102886199951,25.939002633094788,OT,86.61361336708069,80.33934235572815,M,93.81310939788818,90.28749465942384,M,97.06328511238098,94.47663426399232,M,97.08031415939332,95.4613447189331,M,69.1651463508606,56.37087821960449,N,96.30956053733826,93.0140256881714,Qwen/Qwen3-4B,v1
98c5866c7534c1f26d2e41edbdb372fe21387fe4,OT,31.009361147880558,1.4200210571289062,UI,40.10663628578186,17.25456416606903,M,61.19939684867859,30.42640686035156,L,62.36420273780823,30.01008033752441,F,98.48592877388,97.82233834266664,M,44.81634199619293,9.913340210914612,M,49.70825612545013,26.227736473083496,Qwen/Qwen3-4B,v1
88af1c70d96d2df15a127ba02d73f205202fb5cc,BF,94.8353946208954,93.09842586517334,LG,72.90418148040771,49.23565983772278,H,53.03928852081299,6.232279539108276,M,69.19214725494385,38.488319516181946,M,96.56842947006226,93.742036819458,M,64.10099864006042,31.868991255760196,M,81.05586767196655,68.62554550170898,Qwen/Qwen3-4B,v1
88daeec28f25266c6fce15e200ac6d2ca9d11eb6,PF,33.41875672340393,8.969072997570038,DP,62.83268332481384,34.950849413871765,L,81.75927400588989,71.36474847793579,H,50.732409954071045,16.937336325645447,L,43.05107891559601,15.686148405075071,L,55.20424842834473,32.1916937828064,L,76.5959084033966,67.447829246521,Qwen/Qwen3-4B,v1
0050f22b97aaf15446c482c6dd229500ab0e2eba,TS,99.90455508232117,99.83360767364502,TS,99.97827410697936,99.95661973953248,M,96.59029245376588,94.0162479877472,M,74.29301738739014,48.61803650856018,M,99.37498569488524,99.02760982513428,M,50.39320588111877,3.0531704425811768,N,86.57481670379639,74.10253286361694,Qwen/Qwen3-4B,v1
a038655605e8fa1de279b37989ba69a68f83c601,DC,23.47915470600128,7.59236216545105,TS,36.43267154693604,3.2603472471237183,M,61.96655631065369,36.13505363464356,L,62.66268491744995,31.153908371925358,M,34.699830412864685,3.1052768230438232,N,30.123981833457947,0.9268194437026978,N,45.35277485847473,10.03199815750122,Qwen/Qwen3-4B,v1
84cd815500bb486d2ab3d8724a76f0ac43dc3bf4,FT,70.45627236366272,59.65145230293274,LG,55.64702153205872,14.93479311466217,M,87.42693066596985,76.31184458732605,M,94.14706230163574,88.6670470237732,M,95.06280422210692,92.52946376800536,M,74.59180951118469,55.73204755783081,L,40.95189273357392,7.0015788078308105,Qwen/Qwen3-4B,v1
e467f34cc1add0dba8f669aa49f1905245266b7c,TS,38.09318244457245,20.09923607110977,OT,57.74679183959961,22.721591591835026,M,89.28818702697754,78.62423658370972,M,96.8210518360138,93.70874166488647,M,96.92556262016296,94.71622109413148,M,92.6022469997406,87.69450783729553,M,54.9523651599884,19.47245001792908,Qwen/Qwen3-4B,v1
2fdc2600ac37d11d2d660654b327dddd852eeef7,BF,56.45689368247986,39.23851549625397,TS,86.54019832611084,73.2688307762146,M,96.07346057891846,94.07951831817628,M,96.79176211357117,94.04599070549013,M,93.84945631027222,89.97582793235779,M,76.42020583152771,65.41082859039307,N,79.38012480735779,62.74114847183228,Qwen/Qwen3-4B,v1
da9fedead4078cc82efb32e15d8d9cd53c8e82dc,TS,77.44969725608826,60.16833186149597,TS,63.38909864425659,35.2603554725647,M,91.87674522399902,84.33504104614258,M,66.50006771087646,33.06173384189606,M,98.3234405517578,97.5958287715912,M,60.27718186378479,23.71722161769867,N,86.14842295646667,74.48950409889221,Qwen/Qwen3-4B,v1
b4ab0e1af9fb0bb56b8a4a9cfc948727a7b92e0c,SC,28.606221079826355,0.3056466579437256,UI,32.08162486553192,7.865142822265625,L,51.71247124671936,23.596888780593872,M,37.30353116989136,0.1454293727874755,L,46.63472771644592,18.349334597587585,M,85.41814684867859,78.07010412216187,L,36.72022521495819,6.983277201652527,Qwen/Qwen3-4B,v1
4516c8df3f45db4ea3495e397744e9c235b68d7f,OT,42.4373060464859,18.771208822727203,UI,90.6016170978546,84.64909195899963,L,92.8763747215271,85.93486547470093,H,53.10779809951782,6.240332126617432,L,99.722558259964,99.55530166625977,N,99.92026686668396,99.87444877624512,L,60.53641438484192,38.26630711555481,Qwen/Qwen3-4B,v1
a35d23dff7642a097eda24caa9c9979c99bafafe,TS,80.53457140922546,64.67637419700623,TS,99.8961329460144,99.79290962219238,M,81.69261813163757,63.464534282684326,M,94.27725076675416,88.61545920372009,M,96.42982482910156,93.93911957740784,M,61.94142699241638,28.786569833755493,M,51.37800574302673,8.784139156341553,Qwen/Qwen3-4B,v1
6630e813795c20055b26cea52ba6a34390315bdf,FT,34.70028042793274,4.786768555641174,DP,35.51919162273407,15.9036323428154,L,61.12362742424011,24.05027151107788,M,78.85015606880188,63.32364082336426,L,45.6695169210434,21.224384009838104,L,43.57289671897888,13.62571120262146,L,48.082104325294495,18.918833136558533,Qwen/Qwen3-4B,v1
9f812a21036f4d1ec6830aca35ff54fb17750edd,TS,99.93268251419067,99.90488886833192,TS,99.38738346099854,98.95501136779784,M,86.68131828308105,76.32871270179749,M,75.45349597930908,50.95733404159546,M,98.68221282958984,98.13097715377808,H,55.654144287109375,12.310653924942017,N,98.59452843666077,97.31400609016418,Qwen/Qwen3-4B,v1
5d53aa2d11edb3b819b4ee862a10c7bd1532e805,OT,50.93036890029907,34.26601588726044,TS,41.7099267244339,25.87862312793732,M,74.71447587013245,59.88693237304688,L,49.22131299972534,10.887718200683594,F,38.62910568714142,4.002198576927185,L,54.38513159751892,33.087608218193054,N,52.17931866645813,16.317030787467957,Qwen/Qwen3-4B,v1
